x phi
1.02154 1.03539
1.05025 0.95233
1.07889 0.86332
1.12738 0.74815
1.20279 0.66424
1.35276 0.6172
1.4665 0.61144
1.67146 0.61095
1.89293 0.60621
2.10301 0.59196
2.2768 0.57056
2.49335 0.52981
2.69364 0.47614
2.88225 0.41312
3.11461 0.32956
3.44556 0.22238
3.76624 0.15189
4.18534 0.095
4.56635 0.06546
5.0637 0.0422
5.6996 0.02523
6.3728 0.0159
7.0386 0.00963
7.8032 0.00489
8.3584 0.00388
